planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,stellar_temp_k,distance_parsecs,distance_light_years
Kepler-62 e,Kepler-62,Transit,2013,122.38740000000,1.61000000,36.00000000,270.00,4925.00,300.87400000,981.32
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,10037.50000000000,12.40000000,3337.10000000,370.00,580.50,23.10000000,75.34
Kepler-269 b,Kepler-269,Transit,2014,5.32671800000,2.47000000,6.66000000,1007.00,5847.00,2257.32000000,7362.38
Kepler-300 c,Kepler-300,Transit,2014,40.71495500000,2.25000000,5.69000000,516.00,5986.00,1098.45000000,3582.66
Kepler-149 d,Kepler-149,Transit,2014,160.01803200000,3.96000000,14.90000000,306.00,5381.00,571.03400000,1862.46
Kepler-124 d,Kepler-124,Transit,2014,30.95085100000,1.11000000,1.41000000,428.00,4984.00,420.04600000,1370.01
Kepler-276 d,Kepler-276,Transit,2013,48.64800000000,2.80000000,16.30000000,489.00,5693.00,1144.86000000,3734.03
Kepler-114 c,Kepler-114,Transit,2013,8.04100000000,1.60000000,2.80000000,507.00,4660.00,259.53300000,846.48
Kepler-297 b,Kepler-297,Transit,2014,38.87182600000,2.87000000,48.50000000,509.00,5619.00,692.14000000,2257.46
WASP-83 b,WASP-83,Transit,2015,4.97125200000,11.65736000,95.34900000,1120.00,5510.00,271.10300000,884.22
WASP-89 b,WASP-89,Transit,2015,3.35642270000,11.65736000,1875.19700000,1120.00,5130.00,290.94600000,948.94
Kepler-402 c,Kepler-402,Transit,2014,6.12482100000,1.56000000,3.05000000,1140.00,6090.00,625.33900000,2039.58
Kepler-157 b,Kepler-157,Transit,2014,1.73234200000,1.32000000,2.30000000,1546.00,5774.00,773.71300000,2523.51
HATS-6 b,HATS-6,Transit,2015,3.32527250000,11.18658200,101.38777000,712.80,3724.00,169.31800000,552.24
Kepler-450 c,Kepler-450,Transit,2015,15.41313500000,2.62000000,12.50000000,944.00,6197.21,455.98200000,1487.21
Kepler-81 c,Kepler-81,Transit,2012,12.04000000000,2.37000000,4.30000000,502.00,4385.00,348.29100000,1135.97
Kepler-412 b,Kepler-412,Transit,2014,1.72086040000,15.03126900,299.07803000,1850.00,5750.00,1086.24000000,3542.84
Kepler-92 b,Kepler-92,Transit,2013,13.74900000000,3.51000000,64.30000000,975.00,5883.00,477.99200000,1559.0
Kepler-288 c,Kepler-288,Transit,2014,19.30577200000,2.85000000,8.50000000,815.00,5918.00,1194.15000000,3894.79
Kepler-295 b,Kepler-295,Transit,2014,12.64516400000,1.22000000,1.98000000,741.00,5603.00,1699.19000000,5542.01
Kepler-178 d,Kepler-178,Transit,2014,96.67898800000,3.95000000,14.80000000,392.00,5676.00,716.02500000,2335.36
Kepler-44 b,Kepler-44,Transit,2011,3.24672930000,12.22000000,317.82000000,1544.00,5800.00,1188.00000000,3874.73
Kepler-41 b,Kepler-41,Transit,2011,1.85555820000,14.46000000,177.98000000,1790.00,5750.00,1093.08000000,3565.15
Kepler-450 d,Kepler-450,Transit,2015,7.51464000000,0.83700000,17.60000000,1199.00,6197.21,455.98200000,1487.21
Kepler-350 d,Kepler-350,Transit,2013,26.13600000000,2.80000000,14.90000000,782.00,6492.30,956.85900000,3120.85
Kepler-238 f,Kepler-238,Transit,2013,50.44700000000,2.00000000,13.50000000,568.00,5800.00,1798.75000000,5866.73
Kepler-287 c,Kepler-287,Transit,2014,44.85189600000,3.26000000,66.00000000,513.00,5806.00,835.86000000,2726.21
Kepler-285 b,Kepler-285,Transit,2014,2.63386700000,1.34000000,2.36000000,1131.00,5411.00,824.31000000,2688.54
Kepler-181 b,Kepler-181,Transit,2014,3.13787300000,1.27000000,2.15000000,1041.00,5333.00,609.28300000,1987.21
Kepler-1398 c,Kepler-1398,Transit,2016,4.13827595000,1.03000000,1.08000000,1324.00,6126.00,852.20400000,2779.51
WASP-24 b,WASP-24,Transit,2010,2.34121000000,15.46842000,394.10920000,1772.00,6075.00,322.11400000,1050.59
WASP-21 b,WASP-21,Transit,2010,4.32248200000,11.99000000,95.34500000,1333.00,5800.00,258.42600000,842.87
LHS 3844 b,LHS 3844,Transit,2019,0.46292913000,1.30300000,2.25000000,805.00,3036.00,14.88460000,48.55
TOI-237 b,TOI-237,Transit,2020,5.43609800000,1.44000000,2.67000000,388.00,3212.00,38.07490000,124.18
K2-237 b,K2-237,Transit,2018,2.18053332000,16.06246934,434.15360396,1759.00,6180.00,314.99500000,1027.38
Kepler-284 b,Kepler-284,Transit,2014,12.69914900000,2.24000000,5.65000000,686.00,5615.00,1031.95000000,3365.77
Kepler-654 b,Kepler-654,Transit,2016,13.72465129000,2.07000000,4.94000000,831.00,5865.00,974.12400000,3177.16
Kepler-199 c,Kepler-199,Transit,2014,67.09340800000,3.25000000,10.60000000,420.00,5644.00,521.05400000,1699.45
Kepler-214 b,Kepler-214,Transit,2014,15.66054400000,2.61000000,7.32000000,758.00,6169.00,1208.44000000,3941.4
Kepler-87 b,Kepler-87,Transit,2013,114.73635000000,13.49000000,324.20000000,478.00,5600.00,1232.90000000,4021.18
Kepler-75 b,Kepler-75,Transit,2013,8.88491160000,11.77000000,3209.90000000,767.00,5200.00,835.35600000,2724.56
Kepler-74 b,Kepler-74,Transit,2013,7.34071100000,10.76000000,200.22000000,1078.00,6000.00,1177.55000000,3840.65
Kepler-145 c,Kepler-145,Transit,2013,42.88200000000,4.32000000,79.40000000,709.00,6022.00,566.85000000,1848.82
Kepler-328 b,Kepler-328,Transit,2013,34.92100000000,2.30000000,28.50000000,602.00,6064.00,2213.19000000,7218.45
Kepler-115 c,Kepler-115,Transit,2014,8.99088900000,2.60000000,7.27000000,960.00,5979.00,623.60900000,2033.94
Kepler-341 c,Kepler-341,Transit,2014,8.01041000000,1.70000000,3.53000000,940.00,6012.00,1047.03000000,3414.95
Kepler-225 b,Kepler-225,Transit,2014,6.73897500000,1.20000000,1.87000000,579.00,3682.00,561.10100000,1830.06
Kepler-871 b,Kepler-871,Transit,2016,22.04590180000,3.74000000,13.50000000,640.00,5993.00,1976.05000000,6445.01
Kepler-56 c,Kepler-56,Transit,2012,21.40239000000,9.80000000,181.00000000,1087.00,4840.00,912.99400000,2977.78
XO-5 b,XO-5,Transit,2008,4.18775580000,12.78000000,378.20000000,1230.00,5430.00,276.21100000,900.88
Kepler-447 b,Kepler-447,Transit,2015,7.79430132000,18.49000000,435.41000000,882.00,5493.00,268.04100000,874.23
Kepler-216 b,Kepler-216,Transit,2014,7.69364100000,2.35000000,6.12000000,1069.00,6091.00,1187.47000000,3873.0
Kepler-259 c,Kepler-259,Transit,2014,36.92493100000,2.70000000,7.75000000,530.00,5938.00,1002.14000000,3268.54
Kepler-293 b,Kepler-293,Transit,2014,19.25419600000,3.07000000,9.64000000,657.00,5804.00,974.63300000,3178.82
Kepler-291 b,Kepler-291,Transit,2014,3.54651100000,2.16000000,5.31000000,1212.00,6002.00,1786.48000000,5826.71
Kepler-242 c,Kepler-242,Transit,2014,14.49648100000,2.00000000,4.66000000,613.00,5020.00,600.24100000,1957.72
Kepler-240 b,Kepler-240,Transit,2014,4.14449500000,1.37000000,2.45000000,864.00,4985.00,746.92700000,2436.15
Kepler-56 b,Kepler-56,Transit,2012,10.50160000000,6.51000000,22.10000000,1378.00,4840.00,912.99400000,2977.78
WASP-16 b,WASP-16,Transit,2009,3.11860000000,13.67498000,394.10920000,1389.00,5700.00,194.13400000,633.18
WASP-17 b,WASP-17,Transit,2009,3.73543000000,20.96083000,247.90740000,1755.00,6550.00,405.90800000,1323.89
WASP-18 b,WASP-18,Transit,2009,0.94145223000,13.89913607,3241.84975140,2429.00,6432.00,123.48300000,402.75
HAT-P-54 b,HAT-P-54,Transit,2015,3.79984700000,10.58129600,241.55080000,818.00,4390.00,143.65100000,468.53
Kepler-148 c,Kepler-148,Transit,2014,4.18004300000,3.60000000,12.60000000,957.00,5272.00,791.16300000,2580.43
Kepler-179 b,Kepler-179,Transit,2014,2.73592600000,1.64000000,3.33000000,1075.00,5302.00,605.68000000,1975.46
Kepler-303 b,Kepler-303,Transit,2014,1.93705500000,0.89000000,0.64000000,802.00,3944.00,209.73800000,684.07
Kepler-260 b,Kepler-260,Transit,2014,8.18739900000,2.01000000,4.70000000,782.00,5250.00,627.36500000,2046.19
Kepler-226 b,Kepler-226,Transit,2014,3.94099700000,1.55000000,24.00000000,1018.00,5571.00,980.13800000,3196.78
WASP-26 b,WASP-26,Transit,2010,2.75660000000,13.56289000,270.15550000,1650.00,6034.00,252.75900000,824.39
WASP-33 b,WASP-33,Transit,2010,1.21987000000,17.85593700,665.21819000,2781.70,7430.00,121.94400000,397.73
HATS-14 b,HATS-14,Transit,2015,2.76676410000,11.64615100,340.39593000,1276.00,5346.00,513.01100000,1673.22
HD 95086 b,HD 95086,Imaging,2013,,12.90000000,1589.00000000,1000.00,7595.00,86.22790000,281.24
Kepler-165 c,Kepler-165,Transit,2014,15.31299000000,2.23000000,5.60000000,581.00,5211.00,560.88500000,1829.36
Kepler-197 d,Kepler-197,Transit,2014,15.67756300000,1.22000000,1.98000000,810.00,6004.00,330.57500000,1078.19
Kepler-125 b,Kepler-125,Transit,2014,4.16438900000,2.37000000,6.21000000,590.00,3810.00,183.36500000,598.06
Kepler-306 c,Kepler-306,Transit,2014,7.24019300000,2.35000000,6.12000000,716.00,4954.00,775.67900000,2529.92
KOI-351 e,KOI-351,Transit,2013,91.93913000000,2.66000000,7.56000000,450.00,6080.00,848.25400000,2766.63
KOI-351 c,KOI-351,Transit,2013,8.71937500000,1.19000000,1.81000000,987.00,6080.00,848.25400000,2766.63
Kepler-222 c,Kepler-222,Transit,2014,10.08881000000,4.64000000,19.40000000,734.00,5433.00,758.85400000,2475.05
Kepler-184 d,Kepler-184,Transit,2014,29.02235800000,2.49000000,6.76000000,559.00,5788.00,610.32600000,1990.61
Kepler-309 b,Kepler-309,Transit,2014,5.92365300000,1.56000000,3.05000000,531.00,4713.00,544.56800000,1776.14
Kepler-696 b,Kepler-696,Transit,2016,4.19042557500,6.14000000,31.30000000,1234.00,5903.00,1416.44000000,4619.8
Kepler-11 f,Kepler-11,Transit,2010,46.68880000000,2.49000000,2.00000000,513.00,5663.00,646.34600000,2108.1
Kepler-11 e,Kepler-11,Transit,2010,31.99960000000,4.19000000,8.00000000,582.00,5663.00,646.34600000,2108.1
Kepler-11 g,Kepler-11,Transit,2010,118.38070000000,3.33000000,25.00000000,376.00,5663.00,646.34600000,2108.1
Kepler-166 c,Kepler-166,Transit,2014,34.26028100000,2.38000000,6.26000000,468.00,5413.00,603.53000000,1968.45
Kepler-275 b,Kepler-275,Transit,2014,10.30068200000,2.34000000,6.08000000,1015.00,6165.00,2034.25000000,6634.83
Kepler-1298 b,Kepler-1298,Transit,2016,7.12811928000,1.31000000,2.27000000,1373.00,6339.00,544.16300000,1774.82
Kepler-11 c,Kepler-11,Transit,2010,13.02410000000,2.87000000,2.90000000,786.00,5663.00,646.34600000,2108.1
WASP-57 b,WASP-57,Transit,2012,2.83891856000,11.76945000,204.68252000,1338.00,5600.00,398.27600000,1299.0
HAT-P-50 b,HAT-P-50,Transit,2015,3.12201090000,14.43719200,429.07050000,1862.00,6280.00,515.45800000,1681.2
Kepler-108 b,Kepler-108,Transit,2014,49.18392100000,8.65000000,56.00000000,669.00,5854.00,338.73200000,1104.79
Kepler-264 b,Kepler-264,Transit,2014,40.80623100000,3.33000000,11.10000000,772.00,6158.00,942.17300000,3072.95
Kepler-279 b,Kepler-279,Transit,2014,12.30968100000,3.62000000,4180.93000000,1104.00,6363.00,1037.40000000,3383.54
Kepler-286 c,Kepler-286,Transit,2014,3.46809500000,1.37000000,2.45000000,1098.00,5580.00,1226.85000000,4001.44
